Poll	Date	Sample	MoE	Rep	Dem	Spread	State	Year	Senate	Final_Margin
Morning Call	9/19 - 9/23	486 LV	5	41	40	Toomey +1	PA	2016	0	1.6
Monmouth*	9/30 - 10/3	402 LV	4.9	46	46	Tie	PA	2016	0	1.6
Monmouth*	8/26 - 8/29	402 LV	4.9	41	45	McGinty +4	PA	2016	0	1.6
Monmouth	10/29 - 11/1	403 LV	4.9	44	47	McGinty +3	PA	2016	0	1.6
Mercyhurst University	3/16 - 3/18	421 RV	4.8	47	34	Toomey +13	PA	2016	0	1.6
Mercyhurst	9/12 - 9/23	420 LV	4.8	43	42	Toomey +1	PA	2016	0	1.6
Harper (R)*	11/2 - 11/3	504 LV	4.4	44	44	Tie	PA	2016	0	1.6
Harper (R)*	9/21 - 9/22	500 LV	4.4	42	42	Tie	PA	2016	0	1.6
Harper (R)	9/9 - 9/10	700 LV	3.7	48	34	Toomey +14	PA	2016	0	1.6
Gravis	10/25 - 10/30	3217 RV	1.7	41	45	McGinty +4	PA	2016	0	1.6
Gravis	11/1 - 11/2	1016 RV	3.1	43	45	McGinty +2	PA	2016	0	1.6
Gravis	9/23 - 9/23	949 LV	3.2	39	43	McGinty +4	PA	2016	0	1.6
Franklin & Marshall*	10/26 - 10/30	652 LV	5.1	35	47	McGinty +12	PA	2016	0	1.6
Franklin & Marshall*	9/28 - 10/2	496 LV	6.1	35	41	McGinty +6	PA	2016	0	1.6
Franklin & Marshall	8/25 - 8/29	496 LV	5.6	38	43	McGinty +5	PA	2016	0	1.6
Franklin & Marshall	7/29 - 7/29	389 LV	6.3	38	39	McGinty +1	PA	2016	0	1.6
Franklin & Marshall	8/17 - 8/24	605 RV	3.9	35	28	Toomey +7	PA	2016	0	1.6
Final Results	--	--	--	48.9	47.3	Toomey +1.6	PA	2016	0	1.6
Emerson	10/25 - 10/26	550 LV	4.1	43	45	McGinty +2	PA	2016	0	1.6
Emerson	10/17 - 10/19	800 LV	3.4	46	43	Toomey +3	PA	2016	0	1.6
Emerson	8/25 - 8/28	800 LV	3.4	46	39	Toomey +7	PA	2016	0	1.6
CNN/ORC	10/27 - 11/1	799 LV	3.5	46	51	McGinty +5	PA	2016	0	1.6
CNN/ORC	9/20 - 9/25	771 LV	3.5	46	49	McGinty +3	PA	2016	0	1.6
CBS News/YouGov	10/26 - 10/28	1091 LV	3.7	41	44	McGinty +3	PA	2016	0	1.6
CBS News/YouGov	10/5 - 10/7	997 LV	4.2	42	42	Tie	PA	2016	0	1.6
CBS News/YouGov	8/30 - 9/2	1091 LV	4.1	39	39	Tie	PA	2016	0	1.6
Bloomberg	10/7 - 10/11	806 LV	3.5	45	47	McGinty +2	PA	2016	0	1.6
Suffolk*	9/12 - 9/14	500 LV	4.4	39	31	Portman +8	OH	2016	0	20.8
Suffolk*	10/17 - 10/19	500 LV	4.4	46	31	Portman +15	OH	2016	0	20.8
Suffolk University*	7/18 - 7/20	500 LV	4.4	37	33	Portman +4	OH	2016	0	20.8
RCP Average	10/27 - 11/5	--	--	53.8	35.5	Portman +18.3	OH	2016	0	20.8
Quinnipiac	3/17 - 3/28	1077 RV	3	39	48	Strickland +9	OH	2016	0	20.8
Quinnipiac	6/4 - 6/15	1191 RV	2.8	40	46	Strickland +6	OH	2016	0	20.8
Quinnipiac	9/25 - 10/5	1180 RV	2.9	43	46	Strickland +3	OH	2016	0	20.8
Quinnipiac	8/7 - 8/18	1096 RV	3	41	44	Strickland +3	OH	2016	0	20.8
Quinnipiac	2/16 - 2/20	1539 RV	2.5	42	44	Strickland +2	OH	2016	0	20.8
Quinnipiac	4/27 - 5/8	1042 RV	3	42	43	Strickland +1	OH	2016	0	20.8
Quinnipiac	6/8 - 6/19	971 RV	3.1	42	42	Tie	OH	2016	0	20.8
Quinnipiac	10/10 - 10/16	624 LV	3.9	54	41	Portman +13	OH	2016	0	20.8
Quinnipiac	7/30 - 8/7	812 RV	3.4	49	40	Portman +9	OH	2016	0	20.8
Quinnipiac	6/30 - 7/11	1015 RV	3.2	47	40	Portman +7	OH	2016	0	20.8
Quinnipiac	8/31 - 9/7	778 LV	3.5	51	40	Portman +11	OH	2016	0	20.8
Quinnipiac	10/27 - 11/1	602 LV	4	56	38	Portman +18	OH	2016	0	20.8
Quinnipiac	9/27 - 10/2	497 LV	4.4	55	38	Portman +17	OH	2016	0	20.8
PPP (D)*	6/22 - 6/23	708 RV	3.7	40	39	Portman +1	OH	2016	0	20.8
PPP (D)	3/4 - 3/6	1248 RV	2.8	40	41	Strickland +1	OH	2016	0	20.8
PPP (D)	6/4 - 6/7	859 RV	3.3	43	41	Portman +2	OH	2016	0	20.8
PPP (D)	4/26 - 4/27	799 RV	3.2	38	38	Tie	OH	2016	0	20.8
PPP (D)	7/22 - 7/24	1334 RV	2.7	43	38	Portman +5	OH	2016	0	20.8
PPP (D)	10/5 - 10/6	782 LV	3.5	51	36	Portman +15	OH	2016	0	20.8
NBC/WSJ/Marist	7/5 - 7/10	848 RV	3.4	44	44	Tie	OH	2016	0	20.8
NBC/WSJ/Marist	8/3 - 8/7	889 RV	3.3	48	43	Portman +5	OH	2016	0	20.8
NBC/WSJ/Marist	10/10 - 10/12	724 LV	3.6	55	37	Portman +18	OH	2016	0	20.8
Monmouth	8/18 - 8/21	402 LV	4.9	48	40	Portman +8	OH	2016	0	20.8
Monmouth	10/1 - 10/4	405 LV	4.9	54	39	Portman +15	OH	2016	0	20.8
Gravis	9/22 - 9/23	850 RV	3.4	44	36	Portman +8	OH	2016	0	20.8
FOX News	9/18 - 9/20	737 LV	3.5	51	37	Portman +14	OH	2016	0	20.8
Final Results	--	--	--	58	37.2	Portman +20.8	OH	2016	0	20.8
Emerson	10/26 - 10/27	800 LV	3.4	49	35	Portman +14	OH	2016	0	20.8
Emerson	10/10 - 10/12	600 LV	3.9	47	30	Portman +17	OH	2016	0	20.8
Emerson	11/4 - 11/5	900 LV	3.2	49	28	Portman +21	OH	2016	0	20.8
Emerson	8/25 - 8/27	800 LV	3.4	40	25	Portman +15	OH	2016	0	20.8
Columbus Dispatch*	10/27 - 11/5	1151 LV	2.9	58	37	Portman +21	OH	2016	0	20.8
CNN/ORC	10/10 - 10/15	744 LV	3.5	56	40	Portman +16	OH	2016	0	20.8
CNN/ORC	9/7 - 9/12	769 LV	3.5	58	37	Portman +21	OH	2016	0	20.8
CBS News/YouGov	8/17 - 8/19	997 LV	3.9	46	39	Portman +7	OH	2016	0	20.8
CBS News/YouGov	11/2 - 11/4	1188 LV	4.1	52	39	Portman +13	OH	2016	0	20.8
CBS News/YouGov	10/5 - 10/7	997 LV	3.9	49	38	Portman +11	OH	2016	0	20.8
Bloomberg	9/9 - 9/12	802 LV	3.5	53	36	Portman +17	OH	2016	0	20.8
UNLV/Hart Research (D)	9/27 - 10/2	700 RV	3.8	47	46	Heck +1	NV	2016	0	2.4
Suffolk*	9/27 - 9/29	500 LV	4.4	38	35	Heck +3	NV	2016	0	2.4
Suffolk University*	8/15 - 8/17	500 LV	4.4	37	37	Tie	NV	2016	0	2.4
RCP Average	10/27 - 11/6	--	--	45.5	47.3	Cortez Masto +1.8	NV	2016	0	2.4
NBC/WSJ/Marist	9/6 - 9/8	627 LV	3.9	47	45	Heck +2	NV	2016	0	2.4
NBC/WSJ/Marist	10/20 - 10/24	707 LV	3.7	49	42	Heck +7	NV	2016	0	2.4
Monmouth*	9/11 - 9/13	406 LV	4.9	46	43	Heck +3	NV	2016	0	2.4
Monmouth*	10/14 - 10/17	413 LV	4.8	45	42	Heck +3	NV	2016	0	2.4
Monmouth*	7/7 - 7/10	408 LV	4.9	42	40	Heck +2	NV	2016	0	2.4
Las Vegas Review-Journal	9/27 - 9/29	800 LV	3.5	47	45	Heck +2	NV	2016	0	2.4
Las Vegas Review-Journal	10/20 - 10/23	800 LV	3.5	44	45	Cortez Masto +1	NV	2016	0	2.4
KTNV/Rasmussen	10/20 - 10/22	826 LV	3.5	41	43	Cortez Masto +2	NV	2016	0	2.4
KTNV/Rasmussen	7/29 - 7/31	750 LV	4	42	41	Heck +1	NV	2016	0	2.4
KTNV/Rasmussen	9/16 - 9/18	800 LV	4	44	40	Heck +4	NV	2016	0	2.4
KTNV/Rasmussen	7/22 - 7/24	750 LV	4	46	37	Heck +9	NV	2016	0	2.4
Gravis	10/25 - 10/25	875 RV	3.3	44	50	Cortez Masto +6	NV	2016	0	2.4
Gravis	11/3 - 11/6	1158 LV	2.9	43	49	Cortez Masto +6	NV	2016	0	2.4
Gravis	5/24 - 5/25	1637 RV	2	43	45	Cortez Masto +2	NV	2016	0	2.4
FOX News*	9/18 - 9/20	704 LV	3.5	43	36	Heck +7	NV	2016	0	2.4
Final Results	--	--	--	44.7	47.1	Cortez Masto +2.4	NV	2016	0	2.4
Emerson	11/4 - 11/5	600 LV	3.9	47	48	Cortez Masto +1	NV	2016	0	2.4
Emerson	10/26 - 10/27	550 LV	4.1	48	44	Heck +4	NV	2016	0	2.4
Emerson	10/2 - 10/4	700 LV	3.6	45	41	Heck +4	NV	2016	0	2.4
CNN/ORC	10/10 - 10/15	698 LV	3.5	45	52	Cortez Masto +7	NV	2016	0	2.4
CNN/ORC	10/27 - 11/1	790 LV	3.5	49	47	Heck +2	NV	2016	0	2.4
CBS News/YouGov	10/12 - 10/14	996 LV	4.5	39	39	Tie	NV	2016	0	2.4
8 News NOW - Las Vegas*	10/28 - 11/1	600 LV	4	43	45	Cortez Masto +2	NV	2016	0	2.4
8 News NOW - Las Vegas	10/10 - 10/13	600 LV	4	35	40	Cortez Masto +5	NV	2016	0	2.4
WMUR/UNH	11/3 - 11/6	707 LV	3.3	45	49	Hassan +4	NH	2016	0	0.2
WMUR/UNH	10/11 - 10/17	770 LV	3.3	39	48	Hassan +9	NH	2016	0	0.2
WMUR/UNH	10/26 - 10/30	641 LV	3.3	44	46	Hassan +2	NH	2016	0	0.2
WMUR/UNH	7/9 - 7/18	469 LV	3.3	42	45	Hassan +3	NH	2016	0	0.2
WMUR/UNH	8/20 - 8/28	433 LV	3.3	42	44	Hassan +2	NH	2016	0	0.2
WMUR/UNH	9/24 - 10/2	519 LV	3.3	45	43	Ayotte +2	NH	2016	0	0.2
WMUR/UNH	5/6 - 5/22	524 LV	3.3	45	43	Ayotte +2	NH	2016	0	0.2
WMUR/UNH	4/7 - 4/17	553 LV	3.3	43	42	Ayotte +1	NH	2016	0	0.2
WMUR/UNH	7/7 - 7/20	468 LV	3.3	47	41	Ayotte +6	NH	2016	0	0.2
WMUR/UNH	2/20 - 2/28	628 LV	3.3	45	41	Ayotte +4	NH	2016	0	0.2
WBUR/MassINC	7/29 - 8/1	609 LV	3.3	40	50	Hassan +10	NH	2016	0	0.2
WBUR/MassINC	9/27 - 9/29	502 LV	3.3	46	48	Hassan +2	NH	2016	0	0.2
WBUR/MassINC	5/12 - 5/15	501 LV	3.3	46	48	Hassan +2	NH	2016	0	0.2
WBUR/MassINC	10/10 - 10/12	501 LV	3.3	47	47	Tie	NH	2016	0	0.2
WBUR/MassINC	10/29 - 11/1	500 LV	3.3	51	45	Ayotte +6	NH	2016	0	0.2
UMass Lowell/7News	10/28 - 11/2	695 LV	3.3	46	47	Hassan +1	NH	2016	0	0.2
UMass Lowell/7News	10/7 - 10/11	517 LV	3.3	45	44	Ayotte +1	NH	2016	0	0.2
UMass Amherst/WBZ*	10/17 - 10/21	772 LV	3.3	48	44	Ayotte +4	NH	2016	0	0.2
RCP Average	10/28 - 11/6	--	3.3	47.1	45.6	Ayotte +1.5	NH	2016	0	0.2
PPP (D)*	6/22 - 6/23	578 RV	3.3	42	44	Hassan +2	NH	2016	0	0.2
PPP (D)	4/19 - 4/21	933 RV	3.3	44	46	Hassan +2	NH	2016	0	0.2
PPP (D)	4/9 - 4/13	747 RV	3.3	45	46	Hassan +1	NH	2016	0	0.2
PPP (D)	10/16 - 10/18	880 RV	3.3	43	44	Hassan +1	NH	2016	0	0.2
PPP (D)	9/13 - 9/16	1038 RV	3.3	45	44	Ayotte +1	NH	2016	0	0.2
PPP (D)	8/21 - 8/24	841 RV	3.3	44	43	Ayotte +1	NH	2016	0	0.2
PPP (D)	11/30 - 12/2	990 RV	3.3	42	42	Tie	NH	2016	0	0.2
PPP (D)	1/4 - 1/6	1036 RV	3.3	44	42	Ayotte +2	NH	2016	0	0.2
PPP (D)	1/9 - 1/12	1354 RV	3.3	46	40	Ayotte +6	NH	2016	0	0.2
NH Journal/NE College	12/1 - 12/1	541 RV	3.3	48	43	Ayotte +5	NH	2016	0	0.2
NBC/WSJ/Marist	10/20 - 10/24	768 LV	3.3	48	47	Ayotte +1	NH	2016	0	0.2
NBC/WSJ/Marist	9/6 - 9/8	737 LV	3.3	52	44	Ayotte +8	NH	2016	0	0.2
NBC/WSJ/Marist	1/17 - 1/23	2258 RV	3.3	45	40	Ayotte +5	NH	2016	0	0.2
NBC News/Marist	2/3 - 2/10	887 RV	3.3	44	48	Hassan +4	NH	2016	0	0.2
NBC News/Marist	8/26 - 9/2	966 RV	3.3	48	45	Ayotte +3	NH	2016	0	0.2
NBC News/Marist	7/14 - 7/21	910 RV	3.3	50	42	Ayotte +8	NH	2016	0	0.2
Monmouth*	10/22 - 10/25	401 LV	3.3	46	46	Tie	NH	2016	0	0.2
Monmouth*	9/17 - 9/20	400 LV	3.3	47	45	Ayotte +2	NH	2016	0	0.2
Gravis	11/1 - 11/2	1001 RV	3.3	46	44	Ayotte +2	NH	2016	0	0.2
Gravis	1/15 - 1/18	1197 RV	3.3	49	42	Ayotte +7	NH	2016	0	0.2
Gravis	10/5 - 10/6	1035 RV	3.3	52	42	Ayotte +10	NH	2016	0	0.2
Final Results	--	--	3.3	47.8	48	Hassan +0.2	NH	2016	0	0.2
Emerson	11/4 - 11/5	1000 LV	3.3	49	46	Ayotte +3	NH	2016	0	5.7
Emerson	9/3 - 9/5	600 LV	3.3	48	46	Ayotte +2	NH	2016	0	5.7
Emerson	10/17 - 10/19	900 LV	3.3	45	45	Tie	NH	2016	0	5.7
Emerson	10/23 - 10/25	600 LV	3.3	50	44	Ayotte +6	NH	2016	0	5.7
Dartmouth	4/11 - 4/16	362 RV	3.3	37	35	Ayotte +2	NH	2016	0	5.7
Dartmouth	4/27 - 4/30	355 RV	3.3	38	33	Ayotte +5	NH	2016	0	5.7
CBS News/YouGov	8/10 - 8/12	990 LV	3.3	41	42	Hassan +1	NH	2016	0	5.7
Boston Herald/FPU	5/25 - 5/28	405 LV	3.3	48	47	Ayotte +1	NH	2016	0	5.7
Boston Globe/Suffolk*	10/31 - 11/2	500 LV	3.3	44	42	Ayotte +2	NH	2016	0	5.7
Boston Globe/Suffolk*	10/3 - 10/5	500 LV	3.3	47	41	Ayotte +6	NH	2016	0	5.7
ARG	10/31 - 11/2	600 LV	3.3	49	46	Ayotte +3	NH	2016	0	5.7
ARG	6/24 - 6/28	533 RV	3.3	51	42	Ayotte +9	NH	2016	0	5.7
WRAL-TV/SurveyUSA*	9/29 - 10/3	656 LV	3.9	46	44	Burr +2	NC	2016	0	5.7
WRAL-TV/SurveyUSA*	10/28 - 10/31	659 LV	3.9	49	43	Burr +6	NC	2016	0	5.7
SurveyUSA*	10/14 - 10/16	651 LV	3.9	45	43	Burr +2	NC	2016	0	5.7
SurveyUSA	2/14 - 2/16	1250 LV	2.8	45	37	Burr +8	NC	2016	0	5.7
Suffolk*	9/5 - 9/7	500 LV	4.4	41	37	Burr +4	NC	2016	0	5.7
Suffolk*	10/10 - 10/12	500 LV	4.4	40	36	Burr +4	NC	2016	0	5.7
RCP Average	10/26 - 11/6	--	--	47	45	Burr +2.0	NC	2016	0	5.7
Quinnipiac	10/27 - 11/1	602 LV	4	45	49	Ross +4	NC	2016	0	5.7
Quinnipiac	11/3 - 11/6	870 LV	3.3	47	47	Tie	NC	2016	0	5.7
Quinnipiac	10/20 - 10/26	702 LV	3.7	48	47	Burr +1	NC	2016	0	5.7
Quinnipiac	9/27 - 10/2	507 LV	4.4	46	46	Tie	NC	2016	0	5.7
Quinnipiac	8/31 - 9/7	751 LV	3.6	49	43	Burr +6	NC	2016	0	5.7
PPP (D)*	9/18 - 9/20	1024 LV	3.1	41	41	Tie	NC	2016	0	5.7
PPP (D)*	10/21 - 10/22	875 LV	3.3	42	41	Burr +1	NC	2016	0	5.7
PPP (D)*	8/5 - 8/7	830 LV	3.4	41	37	Burr +4	NC	2016	0	5.7
PPP (D)*	6/20 - 6/21	947 RV	3.2	40	37	Burr +3	NC	2016	0	5.7
PPP (D)*	4/22 - 4/24	960 RV	3.2	40	36	Burr +4	NC	2016	0	5.7
PPP (D)*	5/20 - 5/22	928 RV	3.2	39	36	Burr +3	NC	2016	0	5.7
PPP (D)*	3/18 - 3/20	843 RV	3.4	40	35	Burr +5	NC	2016	0	5.7
PPP (D)	10/23 - 10/25	893 RV	3.3	43	39	Burr +4	NC	2016	0	5.7
PPP (D)	12/5 - 12/7	1214 RV	2.8	46	35	Burr +11	NC	2016	0	5.7
PPP (D)	9/24 - 9/27	1268 RV	2.8	45	34	Burr +11	NC	2016	0	5.7
PPP (D)	1/18 - 1/19	948 RV	3.2	43	33	Burr +10	NC	2016	0	5.7
NY Times/Siena	10/20 - 10/23	792 LV	3.5	46	47	Ross +1	NC	2016	0	5.7
NY Times/Siena	9/16 - 9/19	782 LV	3.6	42	46	Ross +4	NC	2016	0	5.7
NY Times/Siena	11/4 - 11/6	800 LV	3.5	46	45	Burr +1	NC	2016	0	5.7
NBC/WSJ/Marist	10/25 - 10/26	780 LV	3.5	48	48	Tie	NC	2016	0	5.7
NBC/WSJ/Marist	10/10 - 10/12	743 LV	3.6	46	46	Tie	NC	2016	0	5.7
NBC/WSJ/Marist	8/4 - 8/10	921 RV	3.2	44	46	Ross +2	NC	2016	0	5.7
NBC/WSJ/Marist	7/5 - 7/11	907 RV	3.3	48	41	Burr +7	NC	2016	0	5.7
Monmouth*	10/20 - 10/23	402 LV	4.9	49	43	Burr +6	NC	2016	0	5.7
Monmouth*	8/20 - 8/23	401 LV	4.9	45	43	Burr +2	NC	2016	0	5.7
High Point*	9/17 - 9/22	404 LV	4.9	45	43	Burr +2	NC	2016	0	5.7
High Point*	10/1 - 10/6	479 LV	4.5	47	42	Burr +5	NC	2016	0	5.7
Gravis	9/23 - 9/23	694 LV	3.7	39	48	Ross +9	NC	2016	0	5.7
Gravis	10/25 - 10/26	1273 RV	2.8	45	48	Ross +3	NC	2016	0	5.7
Gravis	11/1 - 11/4	1250 RV	2.8	48	47	Burr +1	NC	2016	0	5.7
FOX News*	9/18 - 9/20	734 LV	3.5	43	37	Burr +6	NC	2016	0	5.7
Final Results	--	--	--	51.1	45.4	Burr +5.7	NC	2016	0	5.7
Emerson	10/26 - 10/27	650 LV	3.8	48	44	Burr +4	NC	2016	0	5.7
Emerson	10/10 - 10/12	600 LV	3.9	45	43	Burr +2	NC	2016	0	5.7
Emerson	8/27 - 8/29	800 LV	3.4	45	41	Burr +4	NC	2016	0	5.7
Elon*	9/27 - 9/30	660 LV	3.8	43	44	Ross +1	NC	2016	0	5.7
Elon*	9/12 - 9/16	644 LV	3.9	43	44	Ross +1	NC	2016	0	5.7
Elon*	10/23 - 10/27	710 LV	3.7	45	42	Burr +3	NC	2016	0	5.7
CNN/ORC	10/10 - 10/15	788 LV	3.5	48	47	Burr +1	NC	2016	0	5.7
CNN/ORC	8/18 - 8/23	803 LV	3.5	50	45	Burr +5	NC	2016	0	5.7
Civitas (R)*	4/23 - 4/25	600 LV	4	39	38	Burr +1	NC	2016	0	5.7
Civitas (R)*	10/14 - 10/17	600 LV	4	45	37	Burr +8	NC	2016	0	5.7
CBS News/YouGov	10/26 - 10/28	992 LV	4.1	44	44	Tie	NC	2016	0	5.7
CBS News/YouGov	8/30 - 9/2	1088 LV	4	40	41	Ross +1	NC	2016	0	5.7
Bloomberg	9/29 - 10/2	805 LV	3.5	44	46	Ross +2	NC	2016	0	5.7
St. Louis Post-Dispatch	10/24 - 10/26	625 LV	4	47	46	Blunt +1	MZ	2016	0	2.8
St. Louis Post-Dispatch	7/23 - 7/24	625 LV	4	47	43	Blunt +4	MZ	2016	0	2.8
Remington Research (R)*	10/31 - 11/1	1722 LV	2.4	48	44	Blunt +4	MZ	2016	0	2.8
Remington Research (R)*	8/5 - 8/6	1280 LV	3	47	40	Blunt +7	MZ	2016	0	2.8
Remington Research (R)	9/1 - 9/2	1275 LV	3	47	40	Blunt +7	MZ	2016	0	2.8
RCP Average	10/24 - 11/5	--	--	46.8	45.5	Blunt +1.3	MZ	2016	0	2.8
PPP (D)	7/11 - 7/12	959 RV	3.2	41	38	Blunt +3	MZ	2016	0	2.8
PPP (D)	8/7 - 8/9	859 RV	3.3	40	35	Blunt +5	MZ	2016	0	2.8
Monmouth*	10/28 - 10/31	405 LV	4.9	47	46	Blunt +1	MZ	2016	0	2.8
Monmouth*	10/9 - 10/11	406 LV	4.9	46	44	Blunt +2	MZ	2016	0	2.8
Monmouth*	8/19 - 8/22	401 LV	4.9	48	43	Blunt +5	MZ	2016	0	2.8
Missouri Scout	3/25 - 3/26	927 LV	3.2	44	37	Blunt +7	MZ	2016	0	2.8
Emerson	11/4 - 11/5	750 LV	3.5	45	46	Kander +1	MZ	2016	0	2.8
Emerson	10/28 - 10/31	650 LV	3.8	45	45	Tie	MZ	2016	0	2.8
Emerson	10/17 - 10/19	600 LV	3.9	44	44	Tie	MZ	2016	0	2.8
Emerson	9/9 - 9/13	600 LV	3.9	40	42	Kander +2	MZ	2016	0	2.8
Trafalgar Group (R)	12/5 - 12/6	2500 LV	2	56	40	Kennedy +16	LA	2016	0	21.4
Trafalgar Group (R)	11/14 - 11/17	2200 LV	2.1	58	35	Kennedy +23	LA	2016	0	21.4
SMOR	11/28 - 11/30	500 LV	4.4	52	38	Kennedy +14	LA	2016	0	21.4
Final Results	--	--	--	60.7	39.3	Kennedy +21.4	LA	2016	0	21.4
Western Kentucky Univ.	10/25 - 10/30	602 LV	4	55	39	Paul +16	KY	2016	0	14.6
Harper (R)	7/31 - 8/1	500 RV	4.4	50	38	Paul +12	KY	2016	0	14.6
Final Results	--	--	--	57.3	42.7	Paul +14.6	KY	2016	0	14.6
WTHR/Howey Politics*	9/6 - 9/8	600 LV	4	40	44	Bayh +4	IN	2016	0	9.7
WTHR/Howey Politics*	10/3 - 10/5	600 LV	4	41	42	Bayh +1	IN	2016	0	9.7
WTHR/Howey Politics*	11/1 - 11/3	600 LV	4	46	41	Young +5	IN	2016	0	9.7
WISH-TV	10/10 - 10/16	544 LV	4.8	43	49	Bayh +6	IN	2016	0	9.7
RCP Average	10/27 - 11/3	--	--	42.7	42	Young +0.7	IN	2016	0	9.7
Monmouth*	8/13 - 8/16	403 LV	4.9	41	48	Bayh +7	IN	2016	0	9.7
Monmouth*	10/11 - 10/13	402 LV	4.9	42	48	Bayh +6	IN	2016	0	9.7
Monmouth*	10/27 - 10/30	402 LV	4.9	45	45	Tie	IN	2016	0	9.7
Gravis*	10/30 - 11/1	399 RV	4.9	37	40	Bayh +3	IN	2016	0	9.7
Gravis*	10/22 - 10/24	596 LV	2.3	37	39	Bayh +2	IN	2016	0	9.7
Final Results	--	--	--	52.1	42.4	Young +9.7	IN	2016	0	9.7
The Simon Poll/SIU*	9/27 - 10/2	865 LV	3.3	34	48	Duckworth +14	IL	2016	0	15.1
RCP Average	9/27 - 10/30	--	--	34.7	48	Duckworth +13.3	IL	2016	0	15.1
Loras	10/26 - 10/27	600 LV	4	34	42	Duckworth +8	IL	2016	0	15.1
Loras	9/13 - 9/16	600 LV	4	36	41	Duckworth +5	IL	2016	0	15.1
Final Results	--	--	--	39.8	54.9	Duckworth +15.1	IL	2016	0	15.1
Emerson	10/27 - 10/30	500 LV	4.3	36	54	Duckworth +18	IL	2016	0	15.1
Emerson	9/19 - 9/21	700 LV	3.6	39	41	Duckworth +2	IL	2016	0	15.1
PPP (D)	9/25 - 9/28	1192 LV	3.5	51	42	Grassley +9	IA	2016	0	24.4
PPP (D)	2/20 - 2/23	869 RV	4	48	41	Grassley +7	IA	2016	0	24.4
PPP (D)	5/15 - 5/19	914 RV	3	49	39	Grassley +10	IA	2016	0	24.4
