,Poll,Date,Sample,MoE,Rep,Dem,Spread,State,Year,Senate ,adj_Rep,adj_Dem,margin
88,Remington Research (R),7/7 - 7/8,928 LV,3.1,50,44,Hawley +6,MZ,2018,0,50,44,-6
89,RCP Average,7/8 - 9/22,--,--,45.3,48.3,Tester +3.0,MT,2018,0,45.3,48.3,3
90,Gravis,9/19 - 9/22,710 LV,3.7,45,49,Tester +4,MT,2018,0,45,49,4
91,CBS News/YouGov,9/10 - 9/14,453 LV,--,45,47,Tester +2,MT,2018,0,22.5,23.5,2
92,Remington Research (R),7/8 - 7/10,2581 LV,2,46,49,Tester +3,MT,2018,0,46,49,3
93,Gravis,6/11 - 6/13,469 LV,4.5,44,52,Tester +8,MT,2018,0,44,52,8
94,RCP Average,9/19 - 10/16,--,--,40.8,47,Menendez +6.2,NJ,2018,0,40.8,47,6.2
95,Quinnipiac,10/10 - 10/16,873 LV,4.3,44,51,Menendez +7,NJ,2018,0,22,25.5,7
96,CBS News/YouGov,10/2 - 10/5,845 LV,--,39,49,Menendez +10,NJ,2018,0,19.5,24.5,10
97,Quinnipiac,9/25 - 10/2,1058 LV,4.1,42,53,Menendez +11,NJ,2018,0,21,26.5,11
98,Fairleigh Dickinson,9/26 - 9/30,508 LV,4.3,37,43,Menendez +6,NJ,2018,0,18.5,21.5,6
99,Stockton University*,9/19 - 9/27,531 LV,4.3,43,45,Menendez +2,NJ,2018,0,43,45,2
100,Quinnipiac,8/15 - 8/20,908 RV,4.6,37,43,Menendez +6,NJ,2018,0,18.5,21.5,6
101,Gravis,7/6 - 7/10,563 LV,4.1,41,43,Menendez +2,NJ,2018,0,41,43,2
102,Fairleigh Dickinson,5/16 - 5/21,856 RV,3.5,24,28,Menendez +4,NJ,2018,0,12,14,4
103,Monmouth,4/6 - 4/10,632 RV,3.9,32,53,Menendez +21,NJ,2018,0,32,53,21
104,Quinnipiac,3/8 - 3/12,1052 RV,4.2,32,49,Menendez +17,NJ,2018,0,16,24.5,17
105,RCP Average,9/25 - 10/12,--,--,46,44.3,Heller +1.7,NV,2018,0,46,44.3,-1.7
106,Emerson*,10/10 - 10/12,625 LV,4.2,48,41,Heller +7,NV,2018,0,48,41,-7
107,NY Times/Siena,10/8 - 10/10,642 LV,4,47,45,Heller +2,NV,2018,0,47,45,-2
108,NBC News/Marist,9/30 - 10/3,574 LV,5.5,46,44,Heller +2,NV,2018,0,46,44,-2
109,CNN*,9/25 - 9/29,693 LV,4.6,43,47,Rosen +4,NV,2018,0,43,47,4
110,Gravis,9/11 - 9/12,700 LV,3.7,45,47,Rosen +2,NV,2018,0,45,47,2
111,Suffolk*,9/5 - 9/10,500 LV,4.4,41,42,Rosen +1,NV,2018,0,41,42,1
112,Suffolk*,7/25 - 7/29,500 LV,4.4,41,40,Heller +1,NV,2018,0,41,40,-1
113,Gravis,6/23 - 6/26,630 RV,3.9,41,45,Rosen +4,NV,2018,0,41,45,4
114,Nevada Independent/Mellman,4/12 - 4/19,600 LV,4,40,39,Heller +1,NV,2018,0,40,39,-1
115,RCP Average,6/13 - 10/2,--,--,50.7,42,Cramer +8.7,ND,2018,0,50.7,42,-8.7
116,FOX News,9/29 - 10/2,683 LV,3.5,53,41,Cramer +12,ND,2018,0,26.5,20.5,-12
117,NBC Valley News,9/17 - 9/27,650 LV,--,51,41,Cramer +10,ND,2018,0,51,41,-10
118,FOX News,9/8 - 9/11,701 LV,3.5,48,44,Cramer +4,ND,2018,0,24,22,-4
119,Mason-Dixon,6/13 - 6/15,625 LV,4,48,44,Cramer +4,ND,2018,0,48,44,-4
120,Gravis,2/21 - 2/24,385 RV,5,40,43,Heitkamp +3,ND,2018,0,40,43,3
121,RCP Average,6/7 - 10/8,--,--,36.3,52.3,Brown +16.0,OH,2018,0,36.3,52.3,16
122,Suffolk,10/4 - 10/8,500 LV,4.4,36,54,Brown +18,OH,2018,0,36,54,18
123,NBC News/Marist,9/16 - 9/20,564 LV,5,39,52,Brown +13,OH,2018,0,39,52,13
124,NBC News/Marist,6/17 - 6/21,778 RV,4.4,38,51,Brown +13,OH,2018,0,38,51,13
125,Quinnipiac,6/7 - 6/12,1082 RV,3.7,34,51,Brown +17,OH,2018,0,17,25.5,17
126,Suffolk,6/6 - 6/11,500 LV,4.4,37,53,Brown +16,OH,2018,0,37,53,16
127,WOIO-TV/SurveyUSA,3/16 - 3/20,1408 RV,3.5,38,52,Brown +14,OH,2018,1,38,52,14
128,RCP Average,8/12 - 9/23,--,--,36,52,Casey +16.0,PA,2018,1,36,52,16
129,Franklin & Marshall*,9/17 - 9/23,LV,--,33,50,Casey +17,PA,2018,0,16.5,25,17
130,Morning Call*,9/13 - 9/19,404 LV,5.5,35,53,Casey +18,PA,2018,0,35,53,18
131,Rasmussen Reports,9/12 - 9/13,800 LV,3.5,38,52,Casey +14,PA,2018,0,19,26,14
132,Franklin & Marshall*,8/20 - 8/26,222 LV,6.9,34,47,Casey +13,PA,2018,0,17,23.5,13
133,NBC News/Marist,8/12 - 8/16,713 RV,4.2,38,53,Casey +15,PA,2018,0,38,53,15
134,Suffolk,6/21 - 6/25,500 LV,4.4,32,47,Casey +15,PA,2018,0,32,47,15
135,Franklin & Marshall,6/4 - 6/10,472 RV,6.5,27,44,Casey +17,PA,2018,0,13.5,22,17
136,Morning Call,4/4 - 4/12,414 RV,5.5,32,48,Casey +16,PA,2018,0,32,48,16
137,Franklin & Marshall,3/19 - 3/26,423 RV,6.8,25,43,Casey +18,PA,2018,0,12.5,21.5,18
138,NY Times/Siena,10/8 - 10/11,593 LV,4.2,54,40,Blackburn +14,TN,2018,0,54,40,-14
139,CBS News/YouGov,10/2 - 10/5,871 LV,--,50,42,Blackburn +8,TN,2018,0,25,21,-8
140,FOX News,9/29 - 10/2,666 LV,3.5,48,43,Blackburn +5,TN,2018,0,24,21.5,-5
141,CNN,9/11 - 9/15,723 LV,4.3,45,50,Bredesen +5,TN,2018,0,45,50,5
142,FOX News,9/8 - 9/11,686 LV,3.5,47,44,Blackburn +3,TN,2018,0,23.5,22,-3
143,NBC News/Marist,8/25 - 8/28,538 LV,5.1,46,48,Bredesen +2,TN,2018,0,46,48,2
144,Gravis,8/9 - 8/11,620 LV,3.9,48,44,Blackburn +4,TN,2018,0,48,44,-4
145,Emerson,7/11 - 7/14,657 RV,4.1,37,43,Bredesen +6,TN,2018,0,37,43,6
146,Mason-Dixon,4/17 - 4/19,625 RV,4,43,46,Bredesen +3,TN,2018,0,43,46,3
147,Middle Tn. State Univ.,3/22 - 3/29,600 RV,4,35,45,Bredesen +10,TN,2018,0,35,45,10
148,Gravis,12/11 - 12/12,563 RV,4.1,40,42,Bredesen +2,TN,2018,0,40,42,2
149,RCP Average,10/1 - 10/13,--,--,50.8,43.8,Cruz +7.0,TX,2018,0,50.8,43.8,-7
150,CNN,10/9 - 10/13,716 LV,4.5,52,45,Cruz +7,TX,2018,0,52,45,-7
151,NY Times/Siena,10/8 - 10/11,800 LV,3.6,51,43,Cruz +8,TX,2018,0,51,43,-8
152,Quinnipiac,10/3 - 10/9,730 LV,4.4,54,45,Cruz +9,TX,2018,0,27,22.5,-9
153,CBS News/YouGov,10/2 - 10/5,881 LV,--,50,44,Cruz +6,TX,2018,0,25,22,-6
154,Emerson*,10/1 - 10/5,500 LV,4.5,47,42,Cruz +5,TX,2018,0,47,42,-5
155,Quinnipiac,9/11 - 9/17,807 LV,4.1,54,45,Cruz +9,TX,2018,0,27,22.5,-9
156,CBS 11/Dixie Strategies,9/6 - 9/7,519 LV,4.3,46,42,Cruz +4,TX,2018,0,46,42,-4
157,Emerson,8/22 - 8/25,550 RV,4.4,39,38,Cruz +1,TX,2018,0,39,38,-1
158,NBC News/Marist,8/12 - 8/16,759 RV,3.8,49,45,Cruz +4,TX,2018,0,49,45,-4
159,Quinnipiac,7/26 - 7/31,1138 RV,3.5,49,43,Cruz +6,TX,2018,0,24.5,21.5,-6
160,Texas Lyceum*,7/9 - 7/26,441 LV,4.7,41,39,Cruz +2,TX,2018,0,41,39,-2
161,Gravis,7/3 - 7/7,602 LV,4,51,42,Cruz +9,TX,2018,0,51,42,-9
162,CBS News/YouGov,6/19 - 6/22,821 LV,--,50,40,Cruz +10,TX,2018,0,25,20,-10
163,UT/Texas Tribune*,6/8 - 6/17,1200 RV,2.8,41,36,Cruz +5,TX,2018,0,41,36,-5
164,Quinnipiac,5/23 - 5/29,961 RV,3.8,50,39,Cruz +11,TX,2018,0,25,19.5,-11
165,JMC Analytics,5/19 - 5/21,575 LV,4.1,47,40,Cruz +7,TX,2018,0,47,40,-7
166,Quinnipiac,4/12 - 4/17,1029 RV,3.6,47,44,Cruz +3,TX,2018,0,23.5,22,-3
167,RCP Average,8/16 - 9/26,--,--,36.3,45.7,Manchin +9.4,WV,2018,0,36.3,45.7,9.4
168,WSAZ-TV*,9/17 - 9/26,650 LV,3.8,38,46,Manchin +8,WV,2018,0,38,46,8
169,Emerson,9/13 - 9/15,825 RV,3.5,33,45,Manchin +12,WV,2018,0,33,45,12
170,MetroNews,8/16 - 8/26,404 LV,4.9,38,46,Manchin +8,WV,2018,0,38,46,8
171,Trafalgar Group (R)*,7/13 - 7/16,1158 LV,2.9,40,50,Manchin +10,WV,2018,0,40,50,10
172,Monmouth,6/14 - 6/19,527 LV,5.3,43,50,Manchin +7,WV,2018,0,43,50,7
173,PPP (D)*,6/12 - 6/13,633 RV,--,35,46,Manchin +11,WV,2018,0,35,46,11
174,Gravis,5/22 - 5/22,543 LV,4.2,40,53,Manchin +13,WV,2018,0,40,53,13
175,WPAi (R),5/10 - 5/10,400 LV,4.9,46,44,Morrisey +2,WV,2018,0,46,44,-2
176,MetroNews,8/11 - 8/20,400 LV,4.9,37,51,Manchin +14,WV,2018,0,37,51,14
177,RCP Average,8/18 - 10/7,--,--,41.7,52.3,Baldwin +10.6,WI,2018,0,41.7,52.3,10.6
178,NBC News/Marist,9/30 - 10/3,571 LV,4.8,40,54,Baldwin +14,WI,2018,0,40,54,14
179,Marquette,10/3 - 10/7,799 LV,3.9,43,53,Baldwin +10,WI,2018,0,21.5,26.5,10
180,Marquette,9/12 - 9/16,614 LV,4.4,42,53,Baldwin +11,WI,2018,0,21,26.5,11
181,Suffolk,8/18 - 8/24,500 LV,4.4,42,50,Baldwin +8,WI,2018,0,42,50,8
182,Marquette,8/15 - 8/19,601 LV,4.5,47,49,Baldwin +2,WI,2018,0,23.5,24.5,2
183,Emerson,7/26 - 7/28,632 RV,4.2,36,50,Baldwin +14,WI,2018,0,36,50,14
184,NBC News/Marist,7/15 - 7/19,906 RV,3.8,38,55,Baldwin +17,WI,2018,0,38,55,17
185,Marquette,6/13 - 6/17,800 RV,4,40,49,Baldwin +9,WI,2018,0,20,24.5,9
186,RCP Average,9/29 - 10/13,--,--,48.8,42.3,Blackburn +6.5,TN,2018,0,60,42.3,-6.5
187,Vanderbilt University,10/8 - 10/13,800 RV,4.9,43,44,Bredesen +1,TN,2018,0,43,44,1
188,NY Times/Siena,10/8 - 10/11,593 LV,4.2,54,40,Blackburn +14,TN,2018,0,69,40,-14
189,CBS News/YouGov,10/2 - 10/5,871 LV,--,50,42,Blackburn +8,TN,2018,0,45,21,-8
190,FOX News,9/29 - 10/2,666 LV,3.5,48,43,Blackburn +5,TN,2018,0,24,21.5,-5
191,CNN,9/11 - 9/15,723 LV,4.3,45,50,Bredesen +5,TN,2018,0,45,50,5
192,FOX News,9/8 - 9/11,686 LV,3.5,47,44,Blackburn +3,TN,2018,0,23.5,22,-3
193,NBC News/Marist,8/25 - 8/28,538 LV,5.1,46,48,Bredesen +2,TN,2018,0,46,48,2
194,Gravis,8/9 - 8/11,620 LV,3.9,48,44,Blackburn +4,TN,2018,0,48,44,-4
195,Emerson,7/11 - 7/14,657 RV,4.1,37,43,Bredesen +6,TN,2018,0,37,43,6
196,Mason-Dixon,4/17 - 4/19,625 RV,4,43,46,Bredesen +3,TN,2018,0,43,46,3
197,Middle Tn. State Univ.,3/22 - 3/29,600 RV,4,35,45,Bredesen +10,TN,2018,0,35,45,10
198,Gravis,12/11 - 12/12,563 RV,4.1,40,42,Bredesen +2,TN,2018,0,40,42,2
199,RCP Average,9/9 - 10/14,--,--,28.7,41.3,Feinstein +12.6,CA,2018,0,28.7,41.3,12.6
200,KABC/SurveyUSA,10/12 - 10/14,762 LV,4.9,26,40,Feinstein +14,CA,2018,0,26,40,14
201,LA Times/USC,9/17 - 10/14,794 LV,4,31,44,Feinstein +13,CA,2018,0,31,44,13
202,PPIC,9/9 - 9/18,964 LV,4.4,29,40,Feinstein +11,CA,2018,0,29,40,11
203,PPIC,7/8 - 7/17,1020 LV,4.3,24,46,Feinstein +22,CA,2018,0,24,46,22
204,SurveyUSA,6/26 - 6/27,559 LV,5.9,24,46,Feinstein +22,CA,2018,0,24,46,22
205,LA Times/USC,6/6 - 6/17,893 RV,4,18,36,Feinstein +18,CA,2018,0,18,36,18
206,RCP Average,8/24 - 10/8,--,--,39.5,55.5,Murphy +16.0,CT,2018,0,39.5,55.5,16
207,Quinnipiac,10/3 - 10/8,767 LV,5,42,57,Murphy +15,CT,2018,0,21,28.5,15
208,Gravis,8/24 - 8/27,606 LV,4,37,54,Murphy +17,CT,2018,0,37,54,17
209,Quinnipiac,8/16 - 8/21,1029 RV,3.9,31,59,Murphy +28,CT,2018,0,15.5,29.5,28
210,University of Delaware*,9/11 - 9/17,728 LV,--,24,61,Carper +37,DE,2018,0,24,61,37
211,Gravis,7/24 - 7/29,884 LV,3.3,39,47,Carper +8,DE,2018,0,39,47,8
212,UMass Lowell*,10/1 - 10/7,485 LV,5.6,31,56,Warren +25,MA,2018,0,31,56,25
213,WBUR/MassINC*,9/17 - 9/21,506 LV,4.4,30,56,Warren +26,MA,2018,0,30,56,26
214,Boston Globe/Suffolk*,9/13 - 9/17,500 LV,4.4,24,54,Warren +30,MA,2018,0,24,54,30
215,Boston Globe/Suffolk,6/8 - 6/12,500 LV,4.4,33,55,Warren +22,MA,2018,0,33,55,22
216,WBUR/MassINC*,5/22 - 5/26,501 RV,4.4,19,55,Warren +36,MA,2018,0,19,55,36
217,WBUR/MassINC*,3/16 - 3/18,504 RV,4.4,20,55,Warren +35,MA,2018,0,20,55,35
218,WBUR/MassINC*,11/9 - 11/12,504 RV,4.4,32,58,Warren +26,MA,2018,0,32,58,26
219,WBUR/MassINC,6/19 - 6/22,504 RV,4.4,29,60,Warren +31,MA,2018,0,29,60,31
220,RCP Average,8/17 - 9/13,--,--,18.5,43,Heinrich +24.5,NM,2018,0,18.5,43,24.5
221,Albuquerque Journal,9/7 - 9/13,966 LV,3.1,26,47,Heinrich +21,NM,2018,0,26,47,21
222,Emerson,8/17 - 8/18,500 LV,4.6,11,39,Heinrich +18,NM,2018,0,11,39,28
223,RCP Average,9/20 - 10/16,--,--,31,59.5,Gillibrand +28.5,NY,2018,0,31,59.5,28.5
224,Quinnipiac,10/10 - 10/16,852 LV,4.4,33,58,Gillibrand +25,NY,2018,0,16.5,29,25
225,Siena,9/20 - 9/27,701 LV,3.9,29,61,Gillibrand +32,NY,2018,0,29,61,32
226,Quinnipiac,7/12 - 7/16,934 RV,4.1,30,57,Gillibrand +27,NY,2018,0,15,28.5,27
227,Siena,6/4 - 6/7,745 LV,3.7,28,61,Gillibrand +33,NY,2018,0,28,61,33
228,Quinnipiac,4/26 - 5/1,1076 RV,3.7,23,58,Gillibrand +35,NY,2018,0,11.5,29,35
229,Siena,4/8 - 4/12,692 RV,4.3,27,58,Gillibrand +31,NY,2018,0,27,58,31
230,Siena,3/11 - 3/16,772 RV,4,24,60,Gillibrand +36,NY,2018,0,24,60,36
231,RCP Average,6/13 - 10/2,--,--,50.7,42,Cramer +8.7,ND,2018,0,50.7,42,-8.7
232,FOX News,9/29 - 10/2,683 LV,3.5,53,41,Cramer +12,ND,2018,0,26.5,20.5,-12
233,NBC Valley News,9/17 - 9/27,650 LV,--,51,41,Cramer +10,ND,2018,0,51,41,-10
234,FOX News,9/8 - 9/11,701 LV,3.5,48,44,Cramer +4,ND,2018,0,24,22,-4
235,Mason-Dixon,6/13 - 6/15,625 LV,4,48,44,Cramer +4,ND,2018,0,48,44,-4
236,Gravis,2/21 - 2/24,385 RV,5,40,43,Heitkamp +,ND,2018,0,40,43,3
237,UNH,9/27 - 10/6,503 LV,4.4,33,57,Whitehouse +24,RI,2018,0,33,57,24
238,WPRI/Roger Williams,9/14 - 9/17,420 LV,4.8,35,54,Whitehouse +19,RI,2018,0,35,54,19
239,Salt Lake Tribune,10/3 - 10/9,607 RV,4,59,23,Romney +36,UT,2018,0,59,23,-36
240,UtahPolicy/Dan Jones*,8/22 - 8/31,809 LV,3.4,55,29,Romney +26,UT,2018,0,55,29,-26
241,Salt Lake Tribune/Dan Jones,6/11 - 6/18,654 RV,3.9,58,20,Romney +38,UT,2018,0,58,20,-38
242,UtahPolicy/Dan Jones*,2/9 - 2/16,609 RV,4,60,14,Romney +46,UT,2018,0,60,14,-46
243,Salt Lake Tribune/Dan Jones,1/15 - 1/18,803 RV,3.5,64,19,Romney +45,UT,2018,0,64,19,-45
244,UtahPolicy/Dan Jones,8/30 - 9/5,608 RV,4,64,26,Romney +38,UT,2018,0,64,26,-38
245,Elway Poll,10/4 - 10/9,405 RV,5,39,53,Cantwell +14,WA,2018,0,39,53,14
246,RCP Average,8/16 - 9/26,--,--,36.3,45.7,Manchin +9.4,WV,2018,0,36.3,45.7,9.4
247,WSAZ-TV*,9/17 - 9/26,650 LV,3.8,38,46,Manchin +8,WV,2018,0,38,46,8
248,Emerson,9/13 - 9/15,825 RV,3.5,33,45,Manchin +12,WV,2018,0,33,45,12
249,MetroNews,8/16 - 8/26,404 LV,4.9,38,46,Manchin +8,WV,2018,0,38,46,8
250,Trafalgar Group (R)*,7/13 - 7/16,1158 LV,2.9,40,50,Manchin +10,WV,2018,0,40,50,10
251,Monmouth,6/14 - 6/19,527 LV,5.3,43,50,Manchin +7,WV,2018,0,43,50,7
252,PPP (D)*,6/12 - 6/13,633 RV,--,35,46,Manchin +11,WV,2018,0,35,46,11
253,Gravis,5/22 - 5/22,543 LV,4.2,40,53,Manchin +13,WV,2018,0,40,53,13
254,WPAi (R),5/10 - 5/10,400 LV,4.9,46,44,Morrisey +2,WV,2018,0,46,44,-2
255,MetroNews,8/11 - 8/20,400 LV,4.9,37,51,Manchin +14,WV,2018,0,37,51,14
